Hex,Segment,Field Names,Label,Predicted_Labels,Predict_Segment,ACC,F1,Precision,Recall,FPR,Perfection
320300000300000200e200001b0100de00fb000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000501000c00080011,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.data_raw', 's7comm.data.blockcontrol.unknown1_raw', 's7comm.resp.data_raw']",ROSCTR_3-FUNCTION_27,41,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 20, 239]",0.9666666666666667,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.00881057268722467,0.3333333333333333
320100000500001200001b00000000000000095f3041303030303150,"[0, 1, 2, 4, 6, 8, 10, 11, 18, 19, 20, 22, 27]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.param.blockcontrol.filename_len_raw', 's7comm.param.blockcontrol.filename_raw', 's7comm.data.blockcontrol.block_type_raw', 's7comm.data.blockcontrol.block_number_raw', 's7comm.data.blockcontrol.dest_filesys_raw']",ROSCTR_1-FUNCTION_27,36,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 18, 28]",0.6785714285714286,0.608695652173913,0.7,0.5384615384615384,0.2,0.25
3203000005000002003c00001b00003800fb0401100c010000c7000504010000010100000052545749000000000054657374484d490044415441444200000100c0df0000000000000000,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.data_raw', 's7comm.data.blockcontrol.unknown1_raw', 's7comm.resp.data_raw']",ROSCTR_3-FUNCTION_27,-1,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 73]"
320100000700001200001c00000000000000095f3041303030303150,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 14, 18, 19, 20, 22, 27]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.data.blockcontrol.errorcode_raw', 's7comm.data.blockcontrol.unknown1_raw', 's7comm.param.blockcontrol.filename_len_raw', 's7comm.param.blockcontrol.filename_raw', 's7comm.data.blockcontrol.block_type_raw', 's7comm.data.blockcontrol.block_number_raw', 's7comm.data.blockcontrol.dest_filesys_raw']",ROSCTR_1-FUNCTION_28,36,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 28]",0.6428571428571429,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.15384615384615385,0.2857142857142857
3203000007000001000000001c,"[0, 1, 2, 4, 6, 8, 10, 11, 12]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw']",ROSCTR_3-FUNCTION_28,13,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.6923076923076923,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.5
320100000f00001a000028000000000000fd000a01003041303030303150055f494e5345,"[0, 1, 2, 4, 6, 8, 10, 11, 18, 20, 21, 22, 24, 29, 30, 31]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.pistart.unknown1_raw', 's7comm.param.pistart.parameterblock_len_raw', 's7comm.param.pistart.parameterblock_raw', 's7comm.param.pi.inse.unknown_raw', 's7comm.param.blockcontrol.filename_raw', 's7comm.data.blockcontrol.block_number_raw', 's7comm.data.blockcontrol.dest_filesys_raw', 's7comm.param.pi.n_x.string_len_raw', 's7comm.param.pistart.servicename_raw']",ROSCTR_1-FUNCTION_40,1,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 18, 30, 36]",0.6944444444444444,0.5925925925925926,0.7272727272727273,0.5,0.15,0.2
320300000f0000010000000028,"[0, 1, 2, 4, 6, 8, 10, 11, 12]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw']",ROSCTR_3-FUNCTION_40,13,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.6923076923076923,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.5
320300000200000800000000f0000001000100f0,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.setup_reserved1_raw', 's7comm.param.maxamq_calling_raw', 's7comm.param.maxamq_called_raw', 's7comm.param.pdu_length_raw']",ROSCTR_3-FUNCTION_240,9,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.6,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.2857142857142857,0.3333333333333333
320700000500000800060001120411430200ff0900023041,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item.varspec_raw', 's7comm.param.item.varspec_length_raw', 's7comm.param.item.syntaxid_raw', 's7comm.param.userdata.type_raw', 's7comm.param.userdata.subfunc_raw', 's7comm.param.userdata.seq_num_raw', 's7comm.data_raw', 's7comm.data.transportsize_raw', 's7comm.data.length_raw', 's7comm.blockinfo.blocktype_raw']",ROSCTR_7-Function_0-SYNTAX_ID_17-type_fg_67-sub_function_2-RETURN_CODE_255,42,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.4583333333333333,0.5185185185185185,0.7777777777777778,0.3888888888888889,0.3333333333333333,0.23529411764705882
320700000500000c0008000112081283020100000000ff09000400012205,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 28, 29]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item.varspec_raw', 's7comm.param.item.varspec_length_raw', 's7comm.param.item.syntaxid_raw', 's7comm.param.userdata.type_raw', 's7comm.param.userdata.subfunc_raw', 's7comm.param.userdata.seq_num_raw', 's7comm.param.userdata.dataunitref_raw', 's7comm.param.userdata.lastdataunit_raw', 's7comm.param.errcod_raw', 's7comm.data_raw', 's7comm.data.transportsize_raw', 's7comm.data.length_raw', 's7comm.data.item_raw', 's7comm.blockinfo.flags_raw', 's7comm.blockinfo.block_lang_raw']",ROSCTR_7-Function_0-SYNTAX_ID_18-type_fg_131-sub_function_2-ERROR_CODE_b'\x00\x00'-RETURN_CODE_255,40,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 18, 30]",0.43333333333333335,0.48484848484848486,0.8,0.34782608695652173,0.2857142857142857,0.18181818181818182
320300000200000800000000f0000001000100f0,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.setup_reserved1_raw', 's7comm.param.maxamq_calling_raw', 's7comm.param.maxamq_called_raw', 's7comm.param.pdu_length_raw']",ROSCTR_3-FUNCTION_240,9,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.6,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.2857142857142857,0.3333333333333333
320100006800003e00000405120a10020010000184000000120a10020010000284000000120a10020010000384000000120a10020010000484000000120a10020010000584000000,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 24, 36, 48, 60]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw']",ROSCTR_1-FUNCTION_4,29,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 27, 41, 58, 72]",0.8472222222222222,0.5599999999999999,0.5833333333333334,0.5384615384615384,0.0847457627118644,0.3333333333333333
3203000068000002004400000405ff04008001010101010101010101010101010101ff04008002020202020202020202020202020202ff040080030303030303030303030303030303030a0000040a000004,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 34, 54, 74, 78]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_3-FUNCTION_4,37,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 17]",0.8658536585365854,0.56,0.7,0.4666666666666667,0.04477611940298507,0.2857142857142857
320100006900003e00640505120a10020010000184000000120a10020010000284000000120a10020010000384000000120a10020010000484000000120a1002001000058400000000040080010101010101010101010101010101010004008002020202020202020202020202020202000400800303030303030303030303030303030300040080040404040404040404040404040404040004008005050505050505050505050505050505,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 24, 36, 48, 60, 72, 92, 112, 132, 152]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_1-FUNCTION_5,32,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 18, 19, 20, 22, 24]",0.9069767441860465,0.5,0.5714285714285714,0.4444444444444444,0.03896103896103896,0.23529411764705882
3203000069000002000500000505ffffff0a0a,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_3-FUNCTION_5,5,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 19]",0.47368421052631576,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.5,0.2857142857142857
320100006a00003e00000405120a10020010000184000000120a10020010000284000000120a10020010000384000000120a10020010000484000000120a10020010000584000000,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 24, 36, 48, 60]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw']",ROSCTR_1-FUNCTION_4,29,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 27, 41, 58, 72]",0.8472222222222222,0.5599999999999999,0.5833333333333334,0.5384615384615384,0.0847457627118644,0.3333333333333333
320300006a000002004400000405ff04008001010101010101010101010101010101ff04008002020202020202020202020202020202ff040080030303030303030303030303030303030a0000040a000004,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 34, 54, 74, 78]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_3-FUNCTION_4,37,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 17]",0.8658536585365854,0.56,0.7,0.4666666666666667,0.04477611940298507,0.2857142857142857
320100006b00003e00640505120a10020010000184000000120a10020010000284000000120a10020010000384000000120a10020010000484000000120a1002001000058400000000040080010101010101010101010101010101010004008002020202020202020202020202020202000400800303030303030303030303030303030300040080040404040404040404040404040404040004008005050505050505050505050505050505,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 24, 36, 48, 60, 72, 92, 112, 132, 152]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_1-FUNCTION_5,32,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 18, 19, 20, 22, 24]",0.9069767441860465,0.5,0.5714285714285714,0.4444444444444444,0.03896103896103896,0.23529411764705882
320300006b000002000500000505ffffff0a0a,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_3-FUNCTION_5,5,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 19]",0.47368421052631576,0.5833333333333334,0.7777777777777778,0.4666666666666667,0.5,0.2857142857142857
320100006c00003e00000405120a10020010000184000000120a10020010000284000000120a10020010000384000000120a10020010000484000000120a10020010000584000000,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 24, 36, 48, 60]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw']",ROSCTR_1-FUNCTION_4,29,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 27, 41, 58, 72]",0.8472222222222222,0.5599999999999999,0.5833333333333334,0.5384615384615384,0.0847457627118644,0.3333333333333333
320300006c000002004400000405ff04008001010101010101010101010101010101ff04008002020202020202020202020202020202ff040080030303030303030303030303030303030a0000040a000004,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 34, 54, 74, 78]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_3-FUNCTION_4,37,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 17]",0.8658536585365854,0.56,0.7,0.4666666666666667,0.04477611940298507,0.2857142857142857
320100006d00003e00640505120a10020010000184000000120a10020010000284000000120a10020010000384000000120a10020010000484000000120a1002001000058400000000040080010101010101010101010101010101010004008002020202020202020202020202020202000400800303030303030303030303030303030300040080040404040404040404040404040404040004008005050505050505050505050505050505,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 24, 36, 48, 60, 72, 92, 112, 132, 152]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.param.item_raw', 's7comm.data_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw', 's7comm.data.item_raw']",ROSCTR_1-FUNCTION_5,32,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 18, 19, 20, 22, 24]",0.9069767441860465,0.5,0.5714285714285714,0.4444444444444444,0.03896103896103896,0.23529411764705882
